date,session,direction,outcome,pnl,bars_held,h4_up,h4_down,h4_bull_st,h4_bear_st,weekly_up,atr_regime,dist_high,dow,month,atr,s_range
2020-01-02 00:00:00+00:00,london,long,win,100.0,13,False,False,True,False,,,,3,1,1.0070368600987702,2.9529999999999745
2020-01-03 00:00:00+00:00,asian,long,win,100.0,21,True,False,True,False,False,,,4,1,2.0880648310714056,5.526499999999942
2020-01-03 00:00:00+00:00,asian,short,loss,-100.0,4,True,False,True,False,False,,,4,1,2.0880648310714056,5.526499999999942
2020-01-03 00:00:00+00:00,london,long,loss,-100.0,1,True,False,True,False,False,,,4,1,2.3806172204349556,6.226499999999987
2020-01-03 00:00:00+00:00,london,short,loss,-100.0,17,True,False,True,False,False,,,4,1,2.3806172204349556,6.226499999999987
2020-01-06 00:00:00+00:00,london,long,win,100.0,2,True,False,True,False,True,,,0,1,2.6568362202522486,3.8115000000000236
2020-01-06 00:00:00+00:00,london,short,loss,-100.0,43,True,False,True,False,True,,,0,1,2.6568362202522486,3.8115000000000236
2020-01-06 00:00:00+00:00,ny,long,loss,-100.0,1,True,False,False,True,True,,,0,1,3.0140418551791126,3.212999999999738
2020-01-06 00:00:00+00:00,ny,short,loss,-100.0,5,True,False,False,True,True,,,0,1,3.0140418551791126,3.212999999999738
2020-01-07 00:00:00+00:00,asian,long,win,100.0,25,True,False,True,False,True,0.9943180437987584,,1,1,2.154570628465365,3.9549999999997
2020-01-07 00:00:00+00:00,asian,short,loss,-100.0,7,True,False,True,False,True,0.9943180437987584,,1,1,2.154570628465365,3.9549999999997
2020-01-07 00:00:00+00:00,london,long,loss,-100.0,5,True,False,False,False,True,0.9549004811068528,,1,1,2.1889331828406124,2.0699999999999363
2020-01-07 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,False,True,0.9549004811068528,,1,1,2.1889331828406124,2.0699999999999363
2020-01-07 00:00:00+00:00,ny,long,win,100.0,1,True,False,False,False,True,0.8871695608179778,,1,1,2.190355028341835,3.380000000000109
2020-01-07 00:00:00+00:00,ny,short,win,100.0,125,True,False,False,False,True,0.8871695608179778,,1,1,2.190355028341835,3.380000000000109
2020-01-08 00:00:00+00:00,asian,short,loss,-100.0,466,True,False,True,False,True,1.5016642720014686,1.2996319542881682,2,1,4.594892982709879,8.86149999999975
2020-01-08 00:00:00+00:00,london,short,loss,-100.0,454,True,False,False,False,True,1.13621194239186,1.1464024679192673,2,1,3.733678642285492,9.996499999999742
2020-01-09 00:00:00+00:00,london,long,loss,-100.0,13,False,False,False,False,True,0.8994225367142185,3.3164933516265274,3,1,3.186558348854025,3.3150000000000546
2020-01-09 00:00:00+00:00,london,short,loss,-100.0,28,False,False,False,False,True,0.8994225367142185,3.3164933516265274,3,1,3.186558348854025,3.3150000000000546
2020-01-09 00:00:00+00:00,ny,long,loss,-100.0,4,False,True,False,True,True,0.8779557178461798,4.134666645126904,3,1,3.229865565355141,7.716499999999996
2020-01-09 00:00:00+00:00,ny,short,loss,-100.0,28,False,True,False,True,True,0.8779557178461798,4.134666645126904,3,1,3.229865565355141,7.716499999999996
2020-01-10 00:00:00+00:00,asian,long,loss,-100.0,73,False,True,False,True,True,0.6298425502644908,4.09891370243916,4,1,2.3866172820207683,1.6449999999999818
2020-01-10 00:00:00+00:00,asian,short,loss,-100.0,28,False,True,False,True,True,0.6298425502644908,4.09891370243916,4,1,2.3866172820207683,1.6449999999999818
2020-01-10 00:00:00+00:00,london,long,loss,-100.0,1,False,True,False,True,True,0.48115731353210733,4.1055041204270175,4,1,1.8166150493721918,1.6215000000001965
2020-01-10 00:00:00+00:00,london,short,loss,-100.0,1,False,True,False,True,True,0.48115731353210733,4.1055041204270175,4,1,1.8166150493721918,1.6215000000001965
