date,direction,session,pnl,outcome,reason,hour,dow,atr,spike,strategy
2020-02-11 00:00:00+00:00,long,london,115.69512372730036,win,sl,8,1,1.4268891329457258,2.6699999999998454,S2_Fade
2020-03-03 00:00:00+00:00,short,ny,-100.00000000000118,loss,sl,15,1,4.676321822377509,21.721499999999878,S2_Fade
2020-03-05 00:00:00+00:00,short,ny,-100.00000000000142,loss,sl,15,3,3.2991515013521866,5.684999999999945,S2_Fade
2020-03-19 00:00:00+00:00,long,london,95.71497646593478,win,sl,8,3,7.57839544752527,13.474999999999909,S2_Fade
2020-04-07 00:00:00+00:00,long,london,124.41655638449912,win,sl,8,1,4.6727215402836695,18.215000000000146,S2_Fade
2020-04-09 00:00:00+00:00,short,ny,-100.00000000000044,loss,sl,15,3,4.3382692589969665,9.974999999999909,S2_Fade
2020-04-13 00:00:00+00:00,short,london,72.62156686024875,win,sl,8,0,3.64652702287253,8.13149999999996,S2_Fade
2020-05-05 00:00:00+00:00,short,london,111.46996622947833,win,sl,8,1,2.9903836244748643,9.913499999999885,S2_Fade
2020-05-25 00:00:00+00:00,short,ny,103.0142288092658,win,sl,15,0,2.0693687090864215,4.402000000000044,S2_Fade
2020-05-27 00:00:00+00:00,long,ny,250.0,win,tp,15,2,2.739138138977859,7.957999999999856,S2_Fade
2020-06-03 00:00:00+00:00,long,ny,82.59054358621572,win,sl,15,2,4.880761777117929,12.703500000000076,S2_Fade
2020-06-23 00:00:00+00:00,short,london,-99.99999999999855,loss,sl,8,1,2.602176372251674,4.4314999999999145,S2_Fade
2020-07-09 00:00:00+00:00,long,ny,-100.0000000000043,loss,sl,15,3,3.1147238688236643,12.551500000000033,S2_Fade
2020-07-14 00:00:00+00:00,short,london,-99.99999999999483,loss,sl,8,1,1.7706138514314271,4.039999999999736,S2_Fade
2020-07-28 00:00:00+00:00,long,london,100.9169668046089,win,sl,8,1,8.338076026179195,31.79300000000012,S2_Fade
2020-11-03 00:00:00+00:00,long,london,-100.00000000000213,loss,sl,8,1,2.445701659558524,6.298000000000002,S2_Fade
2020-12-02 00:00:00+00:00,long,ny,73.85452528004457,win,sl,15,2,3.8213033655051762,11.333499999999958,S2_Fade
2020-12-03 00:00:00+00:00,short,london,134.6188231751237,win,sl,8,3,3.373746685982725,9.106499999999869,S2_Fade
2020-12-29 00:00:00+00:00,long,ny,77.79046493576541,win,sl,15,1,3.235206724041772,6.756500000000187,S2_Fade
2021-01-05 00:00:00+00:00,long,ny,-100.00000000000253,loss,sl,15,1,3.777501994543304,6.616999999999962,S2_Fade
2021-01-07 00:00:00+00:00,short,ny,-100.00000000000252,loss,sl,15,3,4.903753673299441,8.067000000000007,S2_Fade
2021-01-25 00:00:00+00:00,long,ny,-100.00000000000007,loss,sl,15,0,3.6268582948514427,5.518000000000029,S2_Fade
2021-02-01 00:00:00+00:00,short,london,-100.00000000000352,loss,sl,8,0,3.9931407352737445,10.321500000000242,S2_Fade
2021-02-04 00:00:00+00:00,short,ny,80.69554250649679,win,sl,15,3,5.031869064013175,9.688499999999976,S2_Fade
2021-02-18 00:00:00+00:00,long,london,-99.99999999999886,loss,sl,8,3,1.9969647904057477,3.2460000000000946,S2_Fade
2021-05-05 00:00:00+00:00,long,london,-99.99999999999943,loss,sl,8,2,1.5729686082821601,3.0530000000003383,S2_Fade
2021-06-28 00:00:00+00:00,short,ny,85.60429775851964,win,sl,15,0,2.679540020952383,4.595000000000255,S2_Fade
2021-08-26 00:00:00+00:00,short,ny,102.28795112662227,win,sl,15,3,3.4023890485728576,6.524499999999762,S2_Fade
2021-09-08 00:00:00+00:00,short,ny,75.37359486522934,win,sl,15,2,3.5379972078509567,6.313499999999749,S2_Fade
2021-09-14 00:00:00+00:00,long,london,-100.00000000000566,loss,sl,8,1,1.5062561772962835,2.4820000000001983,S2_Fade
2021-11-02 00:00:00+00:00,long,london,-100.00000000000415,loss,sl,8,1,1.5075624948221984,2.8430000000000746,S2_Fade
2021-11-09 00:00:00+00:00,long,ny,115.64279478201458,win,sl,15,1,3.0577846785706324,5.947499999999991,S2_Fade
2021-12-02 00:00:00+00:00,short,ny,-100.0000000000041,loss,sl,15,3,3.77854109792761,5.824999999999818,S2_Fade
2021-12-20 00:00:00+00:00,short,ny,109.06575575058923,win,sl,15,0,2.585184245181162,5.848500000000286,S2_Fade
2021-12-22 00:00:00+00:00,short,london,79.76874248247614,win,sl,8,2,1.1135193054638346,2.8914999999997235,S2_Fade
2021-12-23 00:00:00+00:00,short,ny,-100.0000000000028,loss,sl,15,3,2.1019137547691633,3.626500000000078,S2_Fade
2021-12-29 00:00:00+00:00,short,ny,-99.99999999999459,loss,sl,15,2,2.8038551031231913,5.860500000000002,S2_Fade
2022-01-17 00:00:00+00:00,long,ny,-100.00000000000546,loss,sl,15,0,1.2188174173046962,2.479999999999791,S2_Fade
2022-01-25 00:00:00+00:00,long,ny,106.90758118872812,win,sl,15,1,3.2689852685424583,9.353000000000065,S2_Fade
2022-02-01 00:00:00+00:00,long,ny,114.90916041680985,win,sl,15,1,2.7175134238155776,4.656500000000051,S2_Fade
2022-02-03 00:00:00+00:00,long,london,149.3561799556539,win,sl,8,3,1.0949533359550832,1.8485000000000582,S2_Fade
2022-03-14 00:00:00+00:00,long,london,-99.99999999999596,loss,sl,8,0,3.1893431984594165,4.972000000000207,S2_Fade
