entry,sl,initial_sl,tp,size,direction,session,pnl,year,balance,peak,dist_to_floor
4417.925,4466.6446758718785,4393.565162064061,4710.24305523127,4.1051176228256265,LONG,asian,200.0,2026,10150.0,10150.0,1150.0
4493.7915,4459.85499687795,4459.85499687795,4901.029537464606,2.946679557418053,LONG,ny,-100.00000000000001,2026,10050.0,10150.0,1050.0
4449.33,4414.20209056288,4414.20209056288,4870.864913245443,2.8467392908479865,LONG,london,-100.0,2026,9950.0,10150.0,950.0
4448.18,4582.183541780829,4414.679114554793,4850.190625342486,2.9849957298459016,LONG,london,400.0,2026,10350.0,10350.0,1350.0
4599.56,4574.710711680905,4574.710711680905,4897.751459829148,4.02426012028498,LONG,london,-100.00000000000001,2026,10250.0,10350.0,1250.0
4602.732,4576.218580144295,4576.218580144295,4920.893038268463,3.771674893100659,LONG,london,-100.0,2026,10150.0,10350.0,1150.0
4597.35,4575.392181804884,4575.392181804884,4860.843818341398,4.554186536722507,LONG,london,-100.0,2026,10050.0,10350.0,1050.0
4448.18,4561.317156335623,4410.467614554793,4900.72862534249,2.6516487572840104,LONG,asian,300.0,2026,10350.0,10350.0,1350.0
4470.0015,4562.140005590163,4423.932247204919,5022.832533540977,2.1706451468793198,LONG,ny,200.0,2026,10550.0,10550.0,1550.0
4674.345,4833.428971438095,4658.436602856191,4865.245765725714,6.285988405746692,LONG,london,1200.0,2026,11750.0,11750.0,2750.0
4678.115,4844.583889700919,4654.333730042726,4963.49023948729,4.204989900861548,LONG,asian,700.0,2026,12450.0,12450.0,3450.0
4877.39,4846.630916465962,4846.630916465962,5246.499002408455,3.251072155298133,LONG,london,-100.0,2026,12350.0,12450.0,3350.0
4879.485,4822.18536886125,4822.18536886125,5567.080573664995,1.7452119326536757,LONG,asian,-100.0,2026,12250.0,12450.0,3250.0
4763.255,4808.737689205092,4717.772310794909,5309.0472704610975,2.1986386853485733,LONG,ny,100.0,2026,12350.0,12450.0,3350.0
4845.7015,4918.743633797439,4809.180433101281,5283.954302784631,2.738145637347382,LONG,london,200.0,2026,12550.0,12550.0,3550.0
4825.7535,5013.160983361734,4778.901629159566,5387.975950085202,2.1343864867334004,LONG,asian,400.00000000000006,2026,12950.0,12950.0,3950.0
4952.86,5011.584434828616,4894.135565171383,5657.5532179434,1.7028686660304728,LONG,london,100.0,2026,13050.0,13050.0,4050.0
4908.59,4996.086482006823,4821.093517993178,5958.547784081871,1.1429030940032816,LONG,ny,100.0,2026,13150.0,13150.0,4150.0
5086.09,5050.80969373152,5050.80969373152,5509.453675221757,2.8344425141610037,LONG,asian,-100.0,2026,13050.0,13150.0,4050.0
5091.075,5421.644654801053,5049.753793149868,5586.929482201579,2.4200648437663315,LONG,asian,1200.0,2026,14250.0,14250.0,5250.0
5141.975,5443.239069272857,5066.658982681786,6045.76720781857,1.3277388205153597,LONG,london,400.00000000000006,2026,14650.0,14650.0,5650.0
5141.975,5444.06305195464,5041.278982681787,6350.32720781856,0.9930879359804887,LONG,ny,300.0,2026,14950.0,14950.0,5950.0
5531.2265,5209.167828108604,5209.167828108604,9395.930562696747,0.31050242930183214,LONG,asian,-100.0,2026,14850.0,14950.0,5850.0
5010.0435,4834.31837926676,4834.31837926676,7118.7449487988815,0.5690706006217813,LONG,ny,-100.0,2026,14750.0,14950.0,5750.0
5079.4615,5271.215550618369,4983.584474690816,6229.985803710212,1.043002738951484,LONG,ny,200.0,2026,14950.0,14950.0,5950.0
4953.39,5216.521371018079,4821.824314490961,6532.178226108471,0.7600766082211422,LONG,london,200.0,2026,15150.0,15150.0,6150.0
4953.39,5113.6206855090395,4793.159314490961,6876.15822610847,0.6241001820737929,LONG,asian,100.0,2026,15250.0,15250.0,6250.0
5200.81,5150.996976728875,5150.996976728875,5798.566279253507,2.0075071423734623,LONG,london,-99.99999999999999,2026,15150.0,15250.0,6150.0
5179.6,5149.268148256558,5149.268148256558,5543.582220921313,3.2968643275008254,LONG,asian,-100.0,2026,15050.0,15250.0,6050.0
5182.1715,5132.761419651736,5132.761419651736,5775.092464179172,2.0238785141646285,LONG,asian,-100.0,2026,14950.0,15250.0,5950.0
4577.94,4521.5794015997535,4521.5794015997535,5254.267180802953,1.774289181421526,LONG,london,-100.0,2026,14850.0,15250.0,5850.0
4543.435,4517.493017400249,4517.493017400249,4854.738791197014,3.8547554958640458,LONG,london,-100.0,2026,14750.0,15250.0,5750.0
4551.925,4515.145359049092,4515.145359049092,4993.2806914109,2.7188954925763205,LONG,london,-100.0,2026,14650.0,15250.0,5650.0
4575.3185,4734.88868772397,4522.128437425344,5213.59925089588,1.8800504297140426,LONG,london,300.0,2026,14950.0,15250.0,5950.0
4530.6,4709.626786465359,4470.924404511547,5246.7071458614355,1.6757268893839483,LONG,asian,300.0,2026,15250.0,15250.0,6250.0
4667.66,4590.775479253466,4590.775479253466,5590.274248958405,1.300651926148715,LONG,ny,-100.0,2026,15150.0,15250.0,6150.0
4684.88,4618.056790647916,4618.056790647916,5486.758512225005,1.4964860408471496,LONG,asian,-100.0,2026,15050.0,15250.0,6050.0
4678.4215,4616.357181052567,4616.357181052567,5423.1933273691975,1.6112317301781314,LONG,asian,-100.0,2026,14950.0,15250.0,5950.0
4668.2885,4774.917652639423,4614.973923680288,5308.06341583654,1.8756596582579903,LONG,asian,200.0,2026,15150.0,15250.0,6150.0
4687.56,4758.286211742152,4616.833788257849,5536.274540905818,1.4139029581362679,LONG,ny,100.0,2026,15250.0,15250.0,6250.0
4665.25,4738.051499701921,4592.448500298079,5538.8679964230505,1.3735980770923801,LONG,london,100.0,2026,15350.0,15350.0,6350.0
4729.7165,4760.370484604359,4699.062515395642,5097.564315252306,3.2622186410891785,LONG,asian,100.0,2026,15450.0,15450.0,6450.0
4751.0915,4715.009555599837,4715.009555599837,5184.074832801964,2.7714692670372445,LONG,london,-100.0,2026,15350.0,15450.0,6350.0
4761.37,4700.32081024133,4700.32081024133,5493.960277104038,1.6380233774650315,LONG,asian,-100.0,2026,15250.0,15450.0,6250.0
4782.305,4754.055154111135,4754.055154111135,5121.303150666379,3.5398423196147935,LONG,asian,-100.0,2026,15150.0,15450.0,6150.0
4778.36,4803.720969849245,4752.999030150754,5082.691638190946,3.9430668698569096,LONG,asian,100.0,2026,15250.0,15450.0,6250.0
4845.0785,4786.903969362351,4786.903969362351,5543.172867651785,1.7189653084245606,LONG,ny,-100.0,2026,15150.0,15450.0,6150.0
4823.32,4783.51284620716,4783.51284620716,5301.005845514079,2.512111278299603,LONG,ny,-100.0,2026,15050.0,15450.0,6050.0
4816.9215,4780.583005757502,4780.583005757502,5252.983430909979,2.7519026884457167,LONG,asian,-100.0,2026,14950.0,15450.0,5950.0
4793.3035,4746.612207982423,4746.612207982423,5353.599004210928,2.1417269833174495,LONG,london,-100.0,2026,14850.0,15450.0,5850.0
4813.76,4789.262934565784,4789.262934565784,5107.724785210592,4.082121602219595,LONG,ny,-100.00000000000001,2026,14750.0,15450.0,5750.0
4810.695,4775.985417413874,4775.985417413874,5227.209991033513,2.881048763748931,LONG,asian,-100.0,2026,14650.0,15450.0,5650.0
4810.695,4779.5919174138735,4779.5919174138735,5183.931991033514,3.2151154061046605,LONG,london,-100.0,2026,14550.0,15450.0,5550.0
4656.325,4596.441797255991,4596.441797255991,5374.923432928102,1.6699173627617192,LONG,asian,-70.04468378103982,2026,14479.95531621896,15450.0,5479.95531621896
4656.325,4553.741797255991,4553.741797255991,5887.32343292811,0.9748184627218605,LONG,london,-40.88876041886815,2026,14439.066555800091,15450.0,5439.066555800091
