date,direction,session,pnl,outcome,reason,hour,dow,atr,strategy
2020-02-12,short,ema_pull,300.0,win,tp,16,2,1.4648269893224444,S1_EMA_Pullback
2020-02-27,long,ema_pull,-100.0,loss,sl,18,3,4.218178074082061,S1_EMA_Pullback
2020-03-17,short,ema_pull,-100.0000000000011,loss,sl,16,1,10.423604538467885,S1_EMA_Pullback
2020-03-18,short,ema_pull,234.5621695560638,win,sl,1,2,7.437741999584408,S1_EMA_Pullback
2020-04-16,long,ema_pull,-100.000000000002,loss,sl,18,3,5.425888888257196,S1_EMA_Pullback
2020-05-19,long,ema_pull,225.40704307325794,win,sl,12,1,3.1693089263801015,S1_EMA_Pullback
2020-05-21,long,ema_pull,-99.99999999999551,loss,sl,4,3,2.3822052567205607,S1_EMA_Pullback
2020-06-08,short,ema_pull,110.42187610230117,win,sl,19,0,2.9547092423837285,S1_EMA_Pullback
2020-06-16,long,ema_pull,-99.99999999999937,loss,sl,13,1,4.2552840805010685,S1_EMA_Pullback
2020-07-07,long,ema_pull,-99.99999999999712,loss,sl,11,1,1.7659159351917935,S1_EMA_Pullback
2020-07-13,long,ema_pull,-99.99999999999864,loss,sl,23,0,2.2445003978919282,S1_EMA_Pullback
2020-07-15,long,ema_pull,300.0,win,tp,11,2,2.3096095747855734,S1_EMA_Pullback
2020-07-16,long,ema_pull,-99.99999999999886,loss,sl,7,3,1.4882790922836364,S1_EMA_Pullback
2020-07-30,long,ema_pull,158.8483889814084,win,sl,15,3,5.562168832929802,S1_EMA_Pullback
2020-08-16,short,ema_pull,188.98053462957213,win,sl,22,6,4.3951278359474415,S1_EMA_Pullback
2020-09-01,long,ema_pull,-99.99999999999922,loss,sl,18,1,5.438665597440874,S1_EMA_Pullback
2020-09-14,long,ema_pull,300.0,win,tp,10,0,2.0844685858378424,S1_EMA_Pullback
2020-09-16,long,ema_pull,300.0,win,tp,0,2,2.37191374375079,S1_EMA_Pullback
2020-10-14,short,ema_pull,-99.99999999999686,loss,sl,13,2,2.8242750803786727,S1_EMA_Pullback
2020-10-26,short,ema_pull,133.51718019271019,win,sl,14,0,2.8700310207845003,S1_EMA_Pullback
2020-11-02,short,ema_pull,-99.99999999999989,loss,sl,5,0,2.3646570435018957,S1_EMA_Pullback
2020-11-04,long,ema_pull,-99.99999999999926,loss,sl,2,2,5.482969373023748,S1_EMA_Pullback
2020-12-15,short,ema_pull,-100.00000000000281,loss,sl,5,1,2.8148040655479805,S1_EMA_Pullback
2020-12-21,long,ema_pull,-100.00000000000118,loss,sl,12,0,6.821072604486663,S1_EMA_Pullback
2020-12-28,long,ema_pull,-99.99999999999828,loss,sl,17,0,3.776500650763702,S1_EMA_Pullback
2020-12-29,long,ema_pull,127.75482292354505,win,sl,9,1,2.357179361486017,S1_EMA_Pullback
2020-12-30,long,ema_pull,-100.00000000000631,loss,sl,9,2,1.7683922501347544,S1_EMA_Pullback
2021-01-06,long,ema_pull,151.34747091344715,win,sl,12,2,4.792709814640899,S1_EMA_Pullback
2021-01-14,short,ema_pull,177.2678772227035,win,sl,18,3,3.8800028001136284,S1_EMA_Pullback
2021-01-19,short,ema_pull,-100.00000000000557,loss,sl,6,1,1.8691335814702463,S1_EMA_Pullback
2021-01-24,short,ema_pull,-100.00000000000003,loss,sl,23,6,2.27385700312152,S1_EMA_Pullback
2021-01-25,short,ema_pull,-100.00000000000104,loss,sl,18,0,3.250971620793018,S1_EMA_Pullback
2021-01-26,short,ema_pull,-99.99999999999875,loss,sl,14,1,2.6834435935225307,S1_EMA_Pullback
2021-02-02,long,ema_pull,-100.0000000000038,loss,sl,5,1,2.2622554082946915,S1_EMA_Pullback
2021-02-16,short,ema_pull,-100.00000000000395,loss,sl,2,1,1.5988811478593383,S1_EMA_Pullback
2021-02-22,short,ema_pull,-99.99999999999748,loss,sl,0,0,2.7167728044801835,S1_EMA_Pullback
2021-03-07,short,ema_pull,-99.99999999999687,loss,sl,23,6,3.2605183955291634,S1_EMA_Pullback
2021-03-08,short,ema_pull,106.64499635216941,win,sl,2,0,3.0345686812192847,S1_EMA_Pullback
2021-03-18,long,ema_pull,-100.0000000000036,loss,sl,10,3,2.892356350118812,S1_EMA_Pullback
2021-03-22,short,ema_pull,159.88668844195126,win,sl,11,0,2.2662228058905063,S1_EMA_Pullback
2021-03-23,long,ema_pull,-99.9999999999947,loss,sl,0,1,1.3211788384199525,S1_EMA_Pullback
2021-03-24,short,ema_pull,-99.99999999999586,loss,sl,20,2,1.5185622665092697,S1_EMA_Pullback
2021-03-25,short,ema_pull,228.18009968838012,win,sl,15,3,3.5615416095897996,S1_EMA_Pullback
2021-04-13,short,ema_pull,-99.99999999999987,loss,sl,12,1,3.03936879512526,S1_EMA_Pullback
2021-04-20,long,ema_pull,-99.99999999999649,loss,sl,8,1,2.736130728687254,S1_EMA_Pullback
2021-04-22,long,ema_pull,-99.9999999999997,loss,sl,15,3,3.258000605234211,S1_EMA_Pullback
2021-05-19,long,ema_pull,-100.00000000000415,loss,sl,10,2,2.6325862939962734,S1_EMA_Pullback
2021-05-25,long,ema_pull,-100.00000000000469,loss,sl,0,1,1.3251690350784262,S1_EMA_Pullback
2021-05-27,long,ema_pull,114.98286793025115,win,sl,15,3,3.2597323997747045,S1_EMA_Pullback
2021-06-08,long,ema_pull,118.62234683130643,win,sl,8,1,1.918488302879922,S1_EMA_Pullback
2021-06-09,long,ema_pull,171.83869957264116,win,sl,2,2,1.4016941164866186,S1_EMA_Pullback
2021-06-28,short,ema_pull,-100.00000000000267,loss,sl,14,0,2.4453245213411976,S1_EMA_Pullback
2021-06-30,short,ema_pull,-99.99999999999797,loss,sl,17,2,2.7050863089132786,S1_EMA_Pullback
2021-07-12,long,ema_pull,-100.00000000000601,loss,sl,3,0,1.5034432150484012,S1_EMA_Pullback
2021-07-27,short,ema_pull,170.08717560590105,win,sl,13,1,2.1900412810199543,S1_EMA_Pullback
2021-07-28,short,ema_pull,-100.00000000000549,loss,sl,16,2,1.7419052994095137,S1_EMA_Pullback
2021-08-04,long,ema_pull,300.0,win,tp,9,2,1.328534391135353,S1_EMA_Pullback
2021-08-18,long,ema_pull,300.0,win,tp,15,2,2.4106797452975286,S1_EMA_Pullback
2021-08-19,long,ema_pull,-100.00000000000003,loss,sl,14,3,3.093958048193144,S1_EMA_Pullback
2021-08-25,long,ema_pull,-100.00000000000068,loss,sl,0,2,1.4062311749016676,S1_EMA_Pullback
2021-08-31,long,ema_pull,171.3107350147477,win,sl,13,1,2.641082909787703,S1_EMA_Pullback
2021-09-01,long,ema_pull,153.64595933918233,win,sl,8,2,1.7891344428453384,S1_EMA_Pullback
2021-09-02,long,ema_pull,-99.99999999999383,loss,sl,13,3,1.6558394309216622,S1_EMA_Pullback
2021-09-13,short,ema_pull,132.70565225126742,win,sl,15,0,2.352964972363316,S1_EMA_Pullback
2021-09-14,short,ema_pull,-99.99999999999967,loss,sl,13,1,3.718673452198585,S1_EMA_Pullback
2021-09-15,long,ema_pull,-100.00000000000182,loss,sl,13,2,2.3785018460091143,S1_EMA_Pullback
2021-09-20,short,ema_pull,-100.00000000000351,loss,sl,20,0,1.7198370805608043,S1_EMA_Pullback
2021-10-05,long,ema_pull,-99.99999999999972,loss,sl,9,1,1.8711494661290595,S1_EMA_Pullback
2021-10-11,short,ema_pull,-99.99999999999687,loss,sl,0,0,1.884072986350761,S1_EMA_Pullback
2021-10-19,short,ema_pull,-100.00000000000149,loss,sl,2,1,1.3698632223688287,S1_EMA_Pullback
2021-11-02,long,ema_pull,-99.99999999999164,loss,sl,1,1,1.2395783599696315,S1_EMA_Pullback
2021-11-30,short,ema_pull,-100.00000000000233,loss,sl,8,1,2.1108289745781765,S1_EMA_Pullback
2021-12-01,short,ema_pull,300.0,win,tp,6,2,2.7908373259661934,S1_EMA_Pullback
2021-12-06,short,ema_pull,-100.00000000000593,loss,sl,20,0,1.6471493088191824,S1_EMA_Pullback
2021-12-20,long,ema_pull,-99.99999999999967,loss,sl,15,0,2.585184245181162,S1_EMA_Pullback
2021-12-22,short,ema_pull,118.77376840214828,win,sl,14,2,1.5908870350057074,S1_EMA_Pullback
2022-01-17,long,ema_pull,-100.0000000000052,loss,sl,15,0,1.1881518874972081,S1_EMA_Pullback
2022-01-24,long,ema_pull,231.43879145530377,win,sl,15,0,3.0550159612114234,S1_EMA_Pullback
2022-02-10,long,ema_pull,-100.00000000000362,loss,sl,21,3,2.3328006847749814,S1_EMA_Pullback
2022-02-23,long,ema_pull,-100.0000000000077,loss,sl,5,2,1.2991404580517518,S1_EMA_Pullback
2022-02-28,long,ema_pull,-99.99999999999993,loss,sl,20,0,3.607722669139323,S1_EMA_Pullback
2022-03-01,long,ema_pull,107.60536463828969,win,sl,3,1,1.9732830840736593,S1_EMA_Pullback
2022-03-03,long,ema_pull,152.6645880132277,win,sl,5,3,2.1338212276718322,S1_EMA_Pullback
2022-03-28,long,ema_pull,-100.00000000000149,loss,sl,2,0,2.671053160665639,S1_EMA_Pullback
2022-04-04,short,ema_pull,-99.99999999999615,loss,sl,7,0,2.3024973213096906,S1_EMA_Pullback
2022-04-05,short,ema_pull,-100.00000000000382,loss,sl,9,1,2.0639469670904083,S1_EMA_Pullback
2022-04-06,short,ema_pull,104.64593870309484,win,sl,10,2,2.861374852200813,S1_EMA_Pullback
2022-04-07,short,ema_pull,136.6494448184774,win,sl,0,3,2.3222678236281156,S1_EMA_Pullback
2022-04-14,long,ema_pull,-100.00000000000206,loss,sl,14,3,4.084023553083086,S1_EMA_Pullback
2022-04-19,long,ema_pull,117.82312923802778,win,sl,7,1,1.800109444816424,S1_EMA_Pullback
2022-05-12,short,ema_pull,-100.00000000000095,loss,sl,1,3,2.1230238784812423,S1_EMA_Pullback
2022-05-25,long,ema_pull,-99.99999999999892,loss,sl,11,2,2.2266777657562455,S1_EMA_Pullback
2022-06-06,short,ema_pull,132.79545565350074,win,sl,12,0,2.0391644785006697,S1_EMA_Pullback
2022-06-07,short,ema_pull,300.0,win,tp,11,1,1.958773810724869,S1_EMA_Pullback
2022-06-08,long,ema_pull,-100.00000000000222,loss,sl,11,2,1.7527577072161942,S1_EMA_Pullback
2022-06-13,long,ema_pull,-99.99999999999561,loss,sl,7,0,2.5642809148054075,S1_EMA_Pullback
2022-06-16,short,ema_pull,-99.99999999999822,loss,sl,12,3,4.202253437637257,S1_EMA_Pullback
2022-06-20,short,ema_pull,-99.99999999999226,loss,sl,22,0,1.4213048848411025,S1_EMA_Pullback
2022-06-21,short,ema_pull,102.13230569713674,win,sl,15,1,2.9096384096169903,S1_EMA_Pullback
2022-06-30,short,ema_pull,238.69757460374873,win,sl,13,3,4.1210945455047865,S1_EMA_Pullback
2022-07-04,short,ema_pull,-99.99999999999828,loss,sl,2,0,2.2217616727832974,S1_EMA_Pullback
2022-07-13,short,ema_pull,172.5842790922179,win,sl,20,2,2.925184126459425,S1_EMA_Pullback
2022-07-18,short,ema_pull,-100.00000000000443,loss,sl,3,0,1.7568334289632404,S1_EMA_Pullback
2022-07-19,short,ema_pull,-100.00000000000485,loss,sl,9,1,1.6075008417109662,S1_EMA_Pullback
2022-07-20,short,ema_pull,162.56034598207017,win,sl,10,2,1.6795230472107074,S1_EMA_Pullback
2022-07-21,short,ema_pull,183.963608285736,win,sl,13,3,4.103202233175983,S1_EMA_Pullback
2022-07-27,short,ema_pull,-100.00000000000631,loss,sl,7,2,1.6222167857766978,S1_EMA_Pullback
2022-08-03,long,ema_pull,300.0,win,tp,11,2,2.1748182880713327,S1_EMA_Pullback
2022-08-11,long,ema_pull,-99.99999999999964,loss,sl,17,3,2.410431210904798,S1_EMA_Pullback
2022-08-24,short,ema_pull,-99.99999999999656,loss,sl,7,2,1.294974407003837,S1_EMA_Pullback
2022-08-29,short,ema_pull,117.81952443286747,win,sl,14,0,2.9889251664554997,S1_EMA_Pullback
2022-09-05,short,ema_pull,-99.99999999999632,loss,sl,9,0,1.7380395592179596,S1_EMA_Pullback
2022-09-20,short,ema_pull,133.2595845783103,win,sl,0,1,1.4501287919619918,S1_EMA_Pullback
2022-09-21,short,ema_pull,-100.000000000004,loss,sl,6,2,2.1280159457441243,S1_EMA_Pullback
2022-09-28,short,ema_pull,-100.00000000000142,loss,sl,12,2,3.9161021056053764,S1_EMA_Pullback
2022-10-12,short,ema_pull,188.51787202551284,win,sl,18,2,2.863097822401164,S1_EMA_Pullback
2022-10-13,short,ema_pull,-100.0000000000023,loss,sl,9,3,1.8616343393859576,S1_EMA_Pullback
2022-10-18,short,ema_pull,138.3373929121895,win,sl,5,1,1.9143835136770768,S1_EMA_Pullback
2022-10-20,short,ema_pull,232.1668825004846,win,sl,15,3,3.2147642273308215,S1_EMA_Pullback
2022-10-27,long,ema_pull,103.59933068631835,win,sl,18,3,2.6009227918829176,S1_EMA_Pullback
2022-11-29,long,ema_pull,-100.00000000000098,loss,sl,16,1,2.8022753869683763,S1_EMA_Pullback
2022-12-12,long,ema_pull,246.04211037121468,win,sl,8,0,1.692326809087445,S1_EMA_Pullback
2022-12-29,long,ema_pull,166.87773775945828,win,sl,7,3,1.4109331974837638,S1_EMA_Pullback
2023-01-17,long,ema_pull,300.0,win,tp,11,1,1.9241850969214904,S1_EMA_Pullback
2023-01-18,long,ema_pull,-100.0000000000012,loss,sl,16,2,3.5263333327965967,S1_EMA_Pullback
2023-01-23,long,ema_pull,-99.99999999999937,loss,sl,15,0,3.674633304724034,S1_EMA_Pullback
2023-01-24,long,ema_pull,202.10725348811636,win,sl,15,1,3.3880421454840803,S1_EMA_Pullback
2023-01-25,long,ema_pull,116.1705682544802,win,sl,6,2,2.0439841036098727,S1_EMA_Pullback
2023-02-01,long,ema_pull,102.46876020449864,win,sl,2,2,1.4255379246769295,S1_EMA_Pullback
2023-02-09,short,ema_pull,-100.00000000000678,loss,sl,7,3,1.5682183014918185,S1_EMA_Pullback
2023-02-21,short,ema_pull,169.00841627474114,win,sl,15,1,3.009016782137228,S1_EMA_Pullback
2023-02-27,short,ema_pull,119.56434177555923,win,sl,19,0,1.9777153409051087,S1_EMA_Pullback
2023-02-28,short,ema_pull,101.00647150967295,win,sl,2,1,1.3542465958944605,S1_EMA_Pullback
2023-03-26,long,ema_pull,-99.99999999999689,loss,sl,23,6,3.3058009718455312,S1_EMA_Pullback
2023-05-10,long,ema_pull,145.3561621131646,win,sl,8,2,1.8281993060097248,S1_EMA_Pullback
2023-05-15,short,ema_pull,-100.00000000000193,loss,sl,14,0,2.724051559856609,S1_EMA_Pullback
2023-06-26,short,ema_pull,-99.99999999999412,loss,sl,1,0,1.705498895315814,S1_EMA_Pullback
2023-07-06,short,ema_pull,300.0,win,tp,6,3,1.207248716845703,S1_EMA_Pullback
2023-07-17,long,ema_pull,201.31100445358135,win,sl,3,0,1.3793665770973216,S1_EMA_Pullback
2023-07-26,long,ema_pull,-100.00000000000699,loss,sl,1,2,1.2900680542515155,S1_EMA_Pullback
2023-08-01,long,ema_pull,-100.00000000000242,loss,sl,3,1,1.1784709136966,S1_EMA_Pullback
2023-08-07,short,ema_pull,300.0,win,tp,13,0,1.8222225065553117,S1_EMA_Pullback
2023-08-29,long,ema_pull,300.0,win,tp,12,1,1.391794363946331,S1_EMA_Pullback
2023-09-11,short,ema_pull,-100.00000000000465,loss,sl,2,0,1.199028227389307,S1_EMA_Pullback
2023-09-12,short,ema_pull,-100.00000000000033,loss,sl,2,1,1.0511455190812704,S1_EMA_Pullback
2023-09-20,long,ema_pull,-100.00000000000351,loss,sl,20,2,2.4526970290516195,S1_EMA_Pullback
2023-10-25,long,ema_pull,110.13203267967653,win,sl,7,2,1.9786796851184025,S1_EMA_Pullback
2023-10-26,long,ema_pull,-100.00000000000284,loss,sl,13,3,3.1071647033828893,S1_EMA_Pullback
2023-11-09,short,ema_pull,108.72709106953735,win,sl,18,3,2.882305704194977,S1_EMA_Pullback
2023-11-13,short,ema_pull,107.41063207986483,win,sl,17,0,2.283200284829908,S1_EMA_Pullback
2023-11-14,short,ema_pull,104.06229799741106,win,sl,10,1,1.1933484206699596,S1_EMA_Pullback
2023-11-20,long,ema_pull,-100.000000000002,loss,sl,10,0,1.895698385567092,S1_EMA_Pullback
2023-11-22,long,ema_pull,112.71530068506065,win,sl,21,2,1.7678116242845416,S1_EMA_Pullback
2023-12-19,long,ema_pull,106.41546619618583,win,sl,4,1,1.4503041516077655,S1_EMA_Pullback
2023-12-20,long,ema_pull,192.11886374338104,win,sl,21,2,2.2943276348297177,S1_EMA_Pullback
2024-01-10,short,ema_pull,124.19854752901402,win,sl,10,2,2.021543836014652,S1_EMA_Pullback
2024-02-07,long,ema_pull,199.50884494086569,win,sl,6,2,0.9238149455367312,S1_EMA_Pullback
2024-02-26,long,ema_pull,-99.9999999999965,loss,sl,15,0,2.0955830208477715,S1_EMA_Pullback
