entry,sl,initial_sl,tp,size,direction,session,pnl,year,equity,static_dd,dist_to_floor
1554.8700000000001,1550.8035417350854,1550.8035417350854,1603.6674991789762,24.59142415472407,LONG,asian,-100.0,2020,9900.0,1.0,900.0
1554.8700000000001,1550.9770417350853,1550.9770417350853,1601.5854991789777,25.68740613051208,LONG,london,-100.0,2020,9800.0,2.0,800.0
1554.47,1550.5789736399734,1550.5789736399734,1601.16231632032,25.700159995655884,LONG,asian,-100.0,2020,9700.0,3.0,700.0
1554.47,1550.7524736399732,1550.7524736399732,1599.0803163203216,26.89960751193684,LONG,london,-100.0,2020,9600.0,4.0,600.0
1556.8365,1562.369472001813,1554.0700139990934,1590.0343320108782,36.146938740059376,LONG,asian,200.00000000000003,2020,9800.0,2.0,800.0
1556.8365,1563.285472001813,1553.6120139990933,1595.5303320108792,31.012694727743778,LONG,london,200.0,2020,10000.0,0.0,1000.0
1560.8615,1553.3981589692828,1553.3981589692828,1650.421592368606,13.398824948294063,LONG,ny,-100.0,2020,9900.0,1.0,900.0
1559.0265,1555.4735687614282,1555.4735687614282,1601.6616748628612,28.1457740905221,LONG,london,-100.0,2020,9800.0,2.0,800.0
1557.5365,1573.8108155474818,1549.399342226259,1655.1823932848908,12.289303314568377,LONG,asian,200.0,2020,10000.0,0.0,1000.0
1563.9015,1575.764152278357,1552.038847721643,1706.2533273402842,8.42981802496617,LONG,london,100.0,2020,10100.0,-1.0,1100.0
1577.4715,1563.4237424146322,1563.4237424146322,1746.0445910244148,7.118573864355387,LONG,asian,-100.0,2020,10000.0,0.0,1000.0
1589.8490000000002,1579.8171823515056,1579.8171823515056,1710.2308117819348,9.968283266692625,LONG,ny,-100.0,2020,9900.0,1.0,900.0
1575.9015,1606.223451590097,1571.569792629986,1627.8819884401664,23.085585303441153,LONG,asian,700.0,2020,10600.0,-6.0,1600.0
1601.4315,1666.4647079670146,1588.424858406597,1757.5111991208353,7.688379762130191,LONG,ny,500.0,2020,11100.0,-11.0,2100.0
1618.3665,1668.4779711143465,1605.8386322214135,1768.7009133430392,7.982204295844035,LONG,london,400.0,2020,11500.0,-15.0,2500.0
1634.7935,1669.063941206708,1623.370019597764,1771.875264826832,8.753899554152182,LONG,asian,300.0,2020,11800.0,-18.0,2800.0
1645.4799999999998,1639.5383743870036,1639.5383743870036,1716.779507355954,16.830410819097892,LONG,asian,-100.0,2020,11700.0,-17.0,2700.0
1649.1599999999999,1642.7850666869626,1642.7850666869626,1725.6591997564465,15.686438600932888,LONG,london,-100.0,2020,11600.0,-16.0,2600.0
