entry,sl,initial_sl,tp,size,direction,session,pnl,year,price_move,pnl_fixed,rsk_pts,risk_fixed,equity,dd_pct,static_dd_pct
1554.8700000000001,1550.8035417350854,1550.8035417350854,1603.6674991789762,24.59142415472407,LONG,asian,-100.0,2020,-4.066458264914672,-8.132916529829345,4.066458264914672,8.132916529829345,9991.86708347017,0.0,0.08132916529830254
1554.8700000000001,1550.9770417350853,1550.9770417350853,1601.5854991789777,25.68740613051208,LONG,london,-100.0,2020,-3.892958264914796,-7.785916529829592,3.892958264914796,7.785916529829592,9984.081166940341,0.07792253904887453,0.15918833059658935
1554.47,1550.5789736399734,1550.5789736399734,1601.16231632032,25.700159995655884,LONG,asian,-100.0,2020,-3.8910263600266717,-7.782052720053343,3.8910263600266717,7.782052720053343,9976.299114220288,0.15580640855037098,0.23700885779711825
1554.47,1550.7524736399732,1550.7524736399732,1599.0803163203216,26.89960751193684,LONG,london,-100.0,2020,-3.7175263600267954,-7.435052720053591,3.7175263600267954,7.435052720053591,9968.864061500233,0.2302174536327758,0.3113593849976678
1556.8365,1562.369472001813,1554.0700139990934,1590.0343320108782,36.146938740059376,LONG,asian,200.00000000000003,2020,5.53297200181305,11.0659440036261,2.766486000906525,5.53297200181305,9979.93000550386,0.11946794194307653,0.2006999449613977
1556.8365,1563.285472001813,1553.6120139990933,1595.5303320108792,31.012694727743778,LONG,london,200.0,2020,6.4489720018132175,12.897944003626435,3.2244860009066088,6.4489720018132175,9992.827949507486,0.0,0.07172050492514245
1560.8615,1553.3981589692828,1553.3981589692828,1650.421592368606,13.398824948294063,LONG,ny,-100.0,2020,-7.463341030717174,-14.926682061434349,7.463341030717174,14.926682061434349,9977.901267446052,0.14937395236720336,0.22098732553948142
1559.0265,1555.4735687614282,1555.4735687614282,1601.6616748628612,28.1457740905221,LONG,london,-100.0,2020,-3.552931238571773,-7.105862477143546,3.552931238571773,7.105862477143546,9970.795404968909,0.22048357732070129,0.2920459503109123
1557.5365,1573.8108155474818,1549.399342226259,1655.1823932848908,12.289303314568377,LONG,asian,200.0,2020,16.27431554748182,32.54863109496364,8.13715777374091,16.27431554748182,10003.344036063872,0.0,-0.03344036063872409
1563.9015,1575.764152278357,1552.038847721643,1706.2533273402842,8.42981802496617,LONG,london,100.0,2020,11.862652278357018,23.725304556714036,11.862652278357018,23.725304556714036,10027.069340620586,0.0,-0.27069340620586446
